Roll_No,Name,Year,Branch,Division,UserName,Password,City
59,WIO,1st,Civil,A,1st_Civil_59,1st_Civil_59,Shirpur
60,XUI,1st,Civil,A,1st_Civil_60,1st_Civil_60,Amalner
1,HLQ,1st,CS,A,1st_CS_1,1st_CS_1,Dhule
2,NLQ,1st,CS,A,1st_CS_2,1st_CS_2,Parola
3,BWD,1st,CS,A,1st_CS_3,1st_CS_3,Amalner
4,YYZ,1st,CS,A,1st_CS_4,1st_CS_4,Shirpur
5,FSE,1st,CS,A,1st_CS_5,1st_CS_5,Dharangaon
6,WUZ,1st,CS,A,1st_CS_6,1st_CS_6,Shindkheda
7,SVV,1st,CS,A,1st_CS_7,1st_CS_7,Pune
8,VUM,1st,CS,A,1st_CS_8,1st_CS_8,Chalisgaon
9,UMZ,1st,CS,A,1st_CS_9,1st_CS_9,Mumbai
10,DGZ,1st,CS,A,1st_CS_10,1st_CS_10,Bhadgaon
11,GTT,1st,CS,A,1st_CS_11,1st_CS_11,Shindkheda
12,YPV,1st,CS,A,1st_CS_12,1st_CS_12,Shirpur
13,UMO,1st,CS,A,1st_CS_13,1st_CS_13,Mumbai
14,BFO,1st,CS,A,1st_CS_14,1st_CS_14,Mumbai
15,WRU,1st,CS,A,1st_CS_15,1st_CS_15,Mumbai
16,RJS,1st,CS,A,1st_CS_16,1st_CS_16,Parola
17,TMH,1st,CS,A,1st_CS_17,1st_CS_17,Dhule
18,FJX,1st,CS,A,1st_CS_18,1st_CS_18,Mumbai
19,OTS,1st,CS,A,1st_CS_19,1st_CS_19,Shindkheda
20,LOP,1st,CS,A,1st_CS_20,1st_CS_20,Parola
21,MQM,1st,CS,A,1st_CS_21,1st_CS_21,Amalner
22,TNM,1st,CS,A,1st_CS_22,1st_CS_22,Shindkheda
23,ITI,1st,CS,A,1st_CS_23,1st_CS_23,Pachora
24,JCJ,1st,CS,A,1st_CS_24,1st_CS_24,Shindkheda
25,AZN,1st,CS,A,1st_CS_25,1st_CS_25,Bhadgaon
26,AOK,1st,CS,A,1st_CS_26,1st_CS_26,Chopda
27,JQN,1st,CS,A,1st_CS_27,1st_CS_27,Mumbai
28,ZFE,1st,CS,A,1st_CS_28,1st_CS_28,Bhadgaon
29,JDO,1st,CS,A,1st_CS_29,1st_CS_29,Bhadgaon
30,EOT,1st,CS,A,1st_CS_30,1st_CS_30,Shindkheda
31,XQV,1st,CS,A,1st_CS_31,1st_CS_31,Shindkheda
32,CSB,1st,CS,A,1st_CS_32,1st_CS_32,Chopda
33,QHD,1st,CS,A,1st_CS_33,1st_CS_33,Shirpur
34,ADO,1st,CS,A,1st_CS_34,1st_CS_34,Chopda
35,EEJ,1st,CS,A,1st_CS_35,1st_CS_35,Dhule
36,HMW,1st,CS,A,1st_CS_36,1st_CS_36,Shindkheda
37,TSP,1st,CS,A,1st_CS_37,1st_CS_37,Chalisgaon
38,RDF,1st,CS,A,1st_CS_38,1st_CS_38,Pachora
39,XZI,1st,CS,A,1st_CS_39,1st_CS_39,Chopda
40,JEZ,1st,CS,A,1st_CS_40,1st_CS_40,Pune
41,MTA,1st,CS,A,1st_CS_41,1st_CS_41,Pune
42,QIR,1st,CS,A,1st_CS_42,1st_CS_42,Shindkheda
43,KDL,1st,CS,A,1st_CS_43,1st_CS_43,Dharangaon
44,JUY,1st,CS,A,1st_CS_44,1st_CS_44,Chopda
45,WTF,1st,CS,A,1st_CS_45,1st_CS_45,Dharangaon
46,HRF,1st,CS,A,1st_CS_46,1st_CS_46,Shindkheda
47,RNI,1st,CS,A,1st_CS_47,1st_CS_47,Shindkheda
48,NZL,1st,CS,A,1st_CS_48,1st_CS_48,Bhadgaon
49,ZIQ,1st,CS,A,1st_CS_49,1st_CS_49,Chopda
50,OAQ,1st,CS,A,1st_CS_50,1st_CS_50,Dhule
51,MGR,1st,CS,A,1st_CS_51,1st_CS_51,Pune
52,FPI,1st,CS,A,1st_CS_52,1st_CS_52,Amalner
53,UXO,1st,CS,A,1st_CS_53,1st_CS_53,Dharangaon
54,ZWQ,1st,CS,A,1st_CS_54,1st_CS_54,Dhule
55,XQN,1st,CS,A,1st_CS_55,1st_CS_55,Pune
56,CPI,1st,CS,A,1st_CS_56,1st_CS_56,Pune
57,EOX,1st,CS,A,1st_CS_57,1st_CS_57,Bhadgaon
58,RDH,1st,CS,A,1st_CS_58,1st_CS_58,Dharangaon
59,BUX,1st,CS,A,1st_CS_59,1st_CS_59,Pune
60,FZI,1st,CS,A,1st_CS_60,1st_CS_60,Chopda
61,ZNT,1st,CS,B,1st_CS_61,1st_CS_61,Shirpur
62,VTW,1st,CS,B,1st_CS_62,1st_CS_62,Pune
63,YYQ,1st,CS,B,1st_CS_63,1st_CS_63,Shirpur
64,GXV,1st,CS,B,1st_CS_64,1st_CS_64,Bhadgaon
65,TWJ,1st,CS,B,1st_CS_65,1st_CS_65,Parola
66,DYW,1st,CS,B,1st_CS_66,1st_CS_66,Parola
67,DDM,1st,CS,B,1st_CS_67,1st_CS_67,Shirpur
68,JNE,1st,CS,B,1st_CS_68,1st_CS_68,Dhule
69,FLV,1st,CS,B,1st_CS_69,1st_CS_69,Shindkheda
70,YKK,1st,CS,B,1st_CS_70,1st_CS_70,Chalisgaon
71,VUQ,1st,CS,B,1st_CS_71,1st_CS_71,Shindkheda
72,TXT,1st,CS,B,1st_CS_72,1st_CS_72,Shindkheda
73,UVF,1st,CS,B,1st_CS_73,1st_CS_73,Chopda
74,CWC,1st,CS,B,1st_CS_74,1st_CS_74,Pune
75,PNJ,1st,CS,B,1st_CS_75,1st_CS_75,Mumbai
76,NRY,1st,CS,B,1st_CS_76,1st_CS_76,Chopda
77,ROI,1st,CS,B,1st_CS_77,1st_CS_77,Shirpur
78,SXU,1st,CS,B,1st_CS_78,1st_CS_78,Parola
79,QRF,1st,CS,B,1st_CS_79,1st_CS_79,Chopda
80,DVG,1st,CS,B,1st_CS_80,1st_CS_80,Shindkheda
81,QBX,1st,CS,B,1st_CS_81,1st_CS_81,Dharangaon
82,TLH,1st,CS,B,1st_CS_82,1st_CS_82,Chopda
83,XHY,1st,CS,B,1st_CS_83,1st_CS_83,Amalner
84,RHU,1st,CS,B,1st_CS_84,1st_CS_84,Dharangaon
85,YOZ,1st,CS,B,1st_CS_85,1st_CS_85,Amalner
86,WWV,1st,CS,B,1st_CS_86,1st_CS_86,Amalner
87,GCJ,1st,CS,B,1st_CS_87,1st_CS_87,Chopda
88,UEM,1st,CS,B,1st_CS_88,1st_CS_88,Shirpur
89,KYL,1st,CS,B,1st_CS_89,1st_CS_89,Bhadgaon
90,YQQ,1st,CS,B,1st_CS_90,1st_CS_90,Chopda
91,ALN,1st,CS,B,1st_CS_91,1st_CS_91,Parola
92,MWR,1st,CS,B,1st_CS_92,1st_CS_92,Parola
93,QFF,1st,CS,B,1st_CS_93,1st_CS_93,Chopda
94,OTK,1st,CS,B,1st_CS_94,1st_CS_94,Pune
95,ABS,1st,CS,B,1st_CS_95,1st_CS_95,Parola
96,UMI,1st,CS,B,1st_CS_96,1st_CS_96,Pune
97,MQC,1st,CS,B,1st_CS_97,1st_CS_97,Chopda
98,UUP,1st,CS,B,1st_CS_98,1st_CS_98,Shindkheda
99,HTP,1st,CS,B,1st_CS_99,1st_CS_99,Amalner
100,DEX,1st,CS,B,1st_CS_100,1st_CS_100,Mumbai
101,FNW,1st,CS,B,1st_CS_101,1st_CS_101,Pachora
102,BQB,1st,CS,B,1st_CS_102,1st_CS_102,Amalner
103,PGJ,1st,CS,B,1st_CS_103,1st_CS_103,Pachora
104,GVR,1st,CS,B,1st_CS_104,1st_CS_104,Parola
105,JKZ,1st,CS,B,1st_CS_105,1st_CS_105,Dharangaon
106,KWG,1st,CS,B,1st_CS_106,1st_CS_106,Pune
107,KQI,1st,CS,B,1st_CS_107,1st_CS_107,Dhule
108,XLB,1st,CS,B,1st_CS_108,1st_CS_108,Pachora
109,SZD,1st,CS,B,1st_CS_109,1st_CS_109,Amalner
110,VPQ,1st,CS,B,1st_CS_110,1st_CS_110,Amalner
111,SDP,1st,CS,B,1st_CS_111,1st_CS_111,Chopda
112,EEL,1st,CS,B,1st_CS_112,1st_CS_112,Bhadgaon
113,YZJ,1st,CS,B,1st_CS_113,1st_CS_113,Chopda
114,KNC,1st,CS,B,1st_CS_114,1st_CS_114,Amalner
115,VLH,1st,CS,B,1st_CS_115,1st_CS_115,Dhule
116,HIB,1st,CS,B,1st_CS_116,1st_CS_116,Pachora
117,EBF,1st,CS,B,1st_CS_117,1st_CS_117,Shirpur
118,PGD,1st,CS,B,1st_CS_118,1st_CS_118,Amalner
119,ZFC,1st,CS,B,1st_CS_119,1st_CS_119,Bhadgaon
120,QAM,1st,CS,B,1st_CS_120,1st_CS_120,Mumbai
121,RAR,1st,CS,C,1st_CS_121,1st_CS_121,Pachora
122,NUJ,1st,CS,C,1st_CS_122,1st_CS_122,Pachora
123,GHF,1st,CS,C,1st_CS_123,1st_CS_123,Shirpur
124,ZBA,1st,CS,C,1st_CS_124,1st_CS_124,Dhule
125,OXB,1st,CS,C,1st_CS_125,1st_CS_125,Shindkheda
126,MPK,1st,CS,C,1st_CS_126,1st_CS_126,Chopda
127,EHN,1st,CS,C,1st_CS_127,1st_CS_127,Chalisgaon
128,MKW,1st,CS,C,1st_CS_128,1st_CS_128,Amalner
129,OYX,1st,CS,C,1st_CS_129,1st_CS_129,Mumbai
130,HDM,1st,CS,C,1st_CS_130,1st_CS_130,Amalner
131,EES,1st,CS,C,1st_CS_131,1st_CS_131,Mumbai
132,AAI,1st,CS,C,1st_CS_132,1st_CS_132,Pune
133,ZZI,1st,CS,C,1st_CS_133,1st_CS_133,Amalner
134,MWA,1st,CS,C,1st_CS_134,1st_CS_134,Pune
135,NYT,1st,CS,C,1st_CS_135,1st_CS_135,Dharangaon
136,NAQ,1st,CS,C,1st_CS_136,1st_CS_136,Shirpur
137,HRJ,1st,CS,C,1st_CS_137,1st_CS_137,Amalner
138,FMY,1st,CS,C,1st_CS_138,1st_CS_138,Dharangaon
139,AGY,1st,CS,C,1st_CS_139,1st_CS_139,Chopda
140,YUJ,1st,CS,C,1st_CS_140,1st_CS_140,Chalisgaon
141,KOD,1st,CS,C,1st_CS_141,1st_CS_141,Pune
142,WGJ,1st,CS,C,1st_CS_142,1st_CS_142,Pachora
143,STO,1st,CS,C,1st_CS_143,1st_CS_143,Shirpur
144,IFL,1st,CS,C,1st_CS_144,1st_CS_144,Shirpur
145,LZJ,1st,CS,C,1st_CS_145,1st_CS_145,Amalner
146,YST,1st,CS,C,1st_CS_146,1st_CS_146,Shirpur
147,SFI,1st,CS,C,1st_CS_147,1st_CS_147,Parola
148,IKX,1st,CS,C,1st_CS_148,1st_CS_148,Bhadgaon
149,XAU,1st,CS,C,1st_CS_149,1st_CS_149,Dhule
150,NXW,1st,CS,C,1st_CS_150,1st_CS_150,Pune
151,SCV,1st,CS,C,1st_CS_151,1st_CS_151,Dharangaon
152,LVZ,1st,CS,C,1st_CS_152,1st_CS_152,Chopda
153,TFK,1st,CS,C,1st_CS_153,1st_CS_153,Parola
154,SSD,1st,CS,C,1st_CS_154,1st_CS_154,Chopda
155,GBC,1st,CS,C,1st_CS_155,1st_CS_155,Pune
156,BGN,1st,CS,C,1st_CS_156,1st_CS_156,Bhadgaon
157,LIA,1st,CS,C,1st_CS_157,1st_CS_157,Amalner
158,BIF,1st,CS,C,1st_CS_158,1st_CS_158,Bhadgaon
159,UGX,1st,CS,C,1st_CS_159,1st_CS_159,Chopda
160,GGP,1st,CS,C,1st_CS_160,1st_CS_160,Shindkheda
161,WHR,1st,CS,C,1st_CS_161,1st_CS_161,Mumbai
162,DQA,1st,CS,C,1st_CS_162,1st_CS_162,Mumbai
163,LXC,1st,CS,C,1st_CS_163,1st_CS_163,Pune
164,LRT,1st,CS,C,1st_CS_164,1st_CS_164,Bhadgaon
165,WOO,1st,CS,C,1st_CS_165,1st_CS_165,Shindkheda
166,FKB,1st,CS,C,1st_CS_166,1st_CS_166,Parola
167,ZFE,1st,CS,C,1st_CS_167,1st_CS_167,Amalner
168,MDO,1st,CS,C,1st_CS_168,1st_CS_168,Mumbai
169,DUM,1st,CS,C,1st_CS_169,1st_CS_169,Chopda
170,HNE,1st,CS,C,1st_CS_170,1st_CS_170,Shindkheda
171,CPB,1st,CS,C,1st_CS_171,1st_CS_171,Parola
172,DAF,1st,CS,C,1st_CS_172,1st_CS_172,Chopda
173,VYW,1st,CS,C,1st_CS_173,1st_CS_173,Chopda
174,HOD,1st,CS,C,1st_CS_174,1st_CS_174,Pune
175,QKF,1st,CS,C,1st_CS_175,1st_CS_175,Pachora
176,UCM,1st,CS,C,1st_CS_176,1st_CS_176,Parola
177,MDD,1st,CS,C,1st_CS_177,1st_CS_177,Amalner
178,FRK,1st,CS,C,1st_CS_178,1st_CS_178,Pune
179,SVU,1st,CS,C,1st_CS_179,1st_CS_179,Shindkheda
180,LQM,1st,CS,C,1st_CS_180,1st_CS_180,Bhadgaon
1,GBT,1st,E&TC,A,1st_E&TC_1,1st_E&TC_1,Amalner
2,UVB,1st,E&TC,A,1st_E&TC_2,1st_E&TC_2,Dharangaon
3,QRO,1st,E&TC,A,1st_E&TC_3,1st_E&TC_3,Chalisgaon
4,ZSR,1st,E&TC,A,1st_E&TC_4,1st_E&TC_4,Shindkheda
5,ARU,1st,E&TC,A,1st_E&TC_5,1st_E&TC_5,Pune
6,WNT,1st,E&TC,A,1st_E&TC_6,1st_E&TC_6,Pachora
7,VDM,1st,E&TC,A,1st_E&TC_7,1st_E&TC_7,Parola
8,VZX,1st,E&TC,A,1st_E&TC_8,1st_E&TC_8,Mumbai
9,UEB,1st,E&TC,A,1st_E&TC_9,1st_E&TC_9,Shirpur
10,JVT,1st,E&TC,A,1st_E&TC_10,1st_E&TC_10,Chopda
11,NIQ,1st,E&TC,A,1st_E&TC_11,1st_E&TC_11,Dhule
12,PKC,1st,E&TC,A,1st_E&TC_12,1st_E&TC_12,Parola
13,EYY,1st,E&TC,A,1st_E&TC_13,1st_E&TC_13,Mumbai
14,JEI,1st,E&TC,A,1st_E&TC_14,1st_E&TC_14,Dhule
15,SWA,1st,E&TC,A,1st_E&TC_15,1st_E&TC_15,Mumbai
16,ZYD,1st,E&TC,A,1st_E&TC_16,1st_E&TC_16,Dhule
17,ZTP,1st,E&TC,A,1st_E&TC_17,1st_E&TC_17,Shindkheda
18,IGM,1st,E&TC,A,1st_E&TC_18,1st_E&TC_18,Shirpur
19,ARM,1st,E&TC,A,1st_E&TC_19,1st_E&TC_19,Parola
20,IBD,1st,E&TC,A,1st_E&TC_20,1st_E&TC_20,Chalisgaon
21,YII,1st,E&TC,A,1st_E&TC_21,1st_E&TC_21,Dharangaon
22,UDG,1st,E&TC,A,1st_E&TC_22,1st_E&TC_22,Chopda
23,YYD,1st,E&TC,A,1st_E&TC_23,1st_E&TC_23,Shindkheda
24,DOK,1st,E&TC,A,1st_E&TC_24,1st_E&TC_24,Bhadgaon
25,WBP,1st,E&TC,A,1st_E&TC_25,1st_E&TC_25,Chalisgaon
26,QML,1st,E&TC,A,1st_E&TC_26,1st_E&TC_26,Shirpur
27,IOJ,1st,E&TC,A,1st_E&TC_27,1st_E&TC_27,Dhule
28,YWL,1st,E&TC,A,1st_E&TC_28,1st_E&TC_28,Dhule
29,VZI,1st,E&TC,A,1st_E&TC_29,1st_E&TC_29,Pune
30,KNL,1st,E&TC,A,1st_E&TC_30,1st_E&TC_30,Pune
31,XXS,1st,E&TC,A,1st_E&TC_31,1st_E&TC_31,Chopda
32,LPG,1st,E&TC,A,1st_E&TC_32,1st_E&TC_32,Amalner
33,NSA,1st,E&TC,A,1st_E&TC_33,1st_E&TC_33,Pune
34,NDX,1st,E&TC,A,1st_E&TC_34,1st_E&TC_34,Dhule
35,UGP,1st,E&TC,A,1st_E&TC_35,1st_E&TC_35,Parola
36,ZHY,1st,E&TC,A,1st_E&TC_36,1st_E&TC_36,Dharangaon
37,JJF,1st,E&TC,A,1st_E&TC_37,1st_E&TC_37,Pune
38,DOQ,1st,E&TC,A,1st_E&TC_38,1st_E&TC_38,Shindkheda
39,TNH,1st,E&TC,A,1st_E&TC_39,1st_E&TC_39,Parola
40,QRP,1st,E&TC,A,1st_E&TC_40,1st_E&TC_40,Parola
41,DYT,1st,E&TC,A,1st_E&TC_41,1st_E&TC_41,Chalisgaon
42,SSN,1st,E&TC,A,1st_E&TC_42,1st_E&TC_42,Dharangaon
43,QCD,1st,E&TC,A,1st_E&TC_43,1st_E&TC_43,Pachora
44,WBZ,1st,E&TC,A,1st_E&TC_44,1st_E&TC_44,Shirpur
45,OCP,1st,E&TC,A,1st_E&TC_45,1st_E&TC_45,Dhule
46,QWZ,1st,E&TC,A,1st_E&TC_46,1st_E&TC_46,Chopda
47,HHC,1st,E&TC,A,1st_E&TC_47,1st_E&TC_47,Dharangaon
48,YNB,1st,E&TC,A,1st_E&TC_48,1st_E&TC_48,Chopda
49,CNX,1st,E&TC,A,1st_E&TC_49,1st_E&TC_49,Chopda
50,WFJ,1st,E&TC,A,1st_E&TC_50,1st_E&TC_50,Mumbai
51,LWO,1st,E&TC,A,1st_E&TC_51,1st_E&TC_51,Pachora
52,CLK,1st,E&TC,A,1st_E&TC_52,1st_E&TC_52,Parola
53,QLN,1st,E&TC,A,1st_E&TC_53,1st_E&TC_53,Chopda
54,UIW,1st,E&TC,A,1st_E&TC_54,1st_E&TC_54,Shirpur
55,YII,1st,E&TC,A,1st_E&TC_55,1st_E&TC_55,Pachora
56,LYO,1st,E&TC,A,1st_E&TC_56,1st_E&TC_56,Chopda
57,JSQ,1st,E&TC,A,1st_E&TC_57,1st_E&TC_57,Chalisgaon
58,IFU,1st,E&TC,A,1st_E&TC_58,1st_E&TC_58,Bhadgaon
59,LTS,1st,E&TC,A,1st_E&TC_59,1st_E&TC_59,Mumbai
60,PVS,1st,E&TC,A,1st_E&TC_60,1st_E&TC_60,Mumbai
61,FAM,1st,E&TC,B,1st_E&TC_61,1st_E&TC_61,Chalisgaon
62,LUI,1st,E&TC,B,1st_E&TC_62,1st_E&TC_62,Amalner
63,DQY,1st,E&TC,B,1st_E&TC_63,1st_E&TC_63,Shirpur
64,ICT,1st,E&TC,B,1st_E&TC_64,1st_E&TC_64,Shirpur
65,TZY,1st,E&TC,B,1st_E&TC_65,1st_E&TC_65,Shirpur
66,QFI,1st,E&TC,B,1st_E&TC_66,1st_E&TC_66,Shirpur
67,IDW,1st,E&TC,B,1st_E&TC_67,1st_E&TC_67,Parola
68,NYA,1st,E&TC,B,1st_E&TC_68,1st_E&TC_68,Amalner
69,WJR,1st,E&TC,B,1st_E&TC_69,1st_E&TC_69,Dharangaon
70,KQD,1st,E&TC,B,1st_E&TC_70,1st_E&TC_70,Bhadgaon
71,XSO,1st,E&TC,B,1st_E&TC_71,1st_E&TC_71,Shindkheda
72,PBI,1st,E&TC,B,1st_E&TC_72,1st_E&TC_72,Bhadgaon
73,KFV,1st,E&TC,B,1st_E&TC_73,1st_E&TC_73,Shindkheda
74,QME,1st,E&TC,B,1st_E&TC_74,1st_E&TC_74,Chalisgaon
75,LTM,1st,E&TC,B,1st_E&TC_75,1st_E&TC_75,Shirpur
76,AQV,1st,E&TC,B,1st_E&TC_76,1st_E&TC_76,Mumbai
77,KUG,1st,E&TC,B,1st_E&TC_77,1st_E&TC_77,Chalisgaon
78,UWX,1st,E&TC,B,1st_E&TC_78,1st_E&TC_78,Bhadgaon
79,BGF,1st,E&TC,B,1st_E&TC_79,1st_E&TC_79,Pachora
80,LDY,1st,E&TC,B,1st_E&TC_80,1st_E&TC_80,Shirpur
81,OSY,1st,E&TC,B,1st_E&TC_81,1st_E&TC_81,Mumbai
82,ZGC,1st,E&TC,B,1st_E&TC_82,1st_E&TC_82,Pachora
83,MBX,1st,E&TC,B,1st_E&TC_83,1st_E&TC_83,Amalner
84,JOT,1st,E&TC,B,1st_E&TC_84,1st_E&TC_84,Pune
85,RIL,1st,E&TC,B,1st_E&TC_85,1st_E&TC_85,Parola
86,OYN,1st,E&TC,B,1st_E&TC_86,1st_E&TC_86,Bhadgaon
87,OVF,1st,E&TC,B,1st_E&TC_87,1st_E&TC_87,Shindkheda
88,UJY,1st,E&TC,B,1st_E&TC_88,1st_E&TC_88,Bhadgaon
89,LFJ,1st,E&TC,B,1st_E&TC_89,1st_E&TC_89,Dhule
90,BVZ,1st,E&TC,B,1st_E&TC_90,1st_E&TC_90,Dhule
91,EST,1st,E&TC,B,1st_E&TC_91,1st_E&TC_91,Bhadgaon
92,BDB,1st,E&TC,B,1st_E&TC_92,1st_E&TC_92,Mumbai
93,AFR,1st,E&TC,B,1st_E&TC_93,1st_E&TC_93,Shindkheda
94,SOL,1st,E&TC,B,1st_E&TC_94,1st_E&TC_94,Dharangaon
95,PLL,1st,E&TC,B,1st_E&TC_95,1st_E&TC_95,Amalner
96,CZL,1st,E&TC,B,1st_E&TC_96,1st_E&TC_96,Chopda
97,HLB,1st,E&TC,B,1st_E&TC_97,1st_E&TC_97,Parola
98,YIA,1st,E&TC,B,1st_E&TC_98,1st_E&TC_98,Pune
99,RHU,1st,E&TC,B,1st_E&TC_99,1st_E&TC_99,Shindkheda
100,JOI,1st,E&TC,B,1st_E&TC_100,1st_E&TC_100,Dhule
101,PGJ,1st,E&TC,B,1st_E&TC_101,1st_E&TC_101,Parola
102,ONE,1st,E&TC,B,1st_E&TC_102,1st_E&TC_102,Chopda
103,ASX,1st,E&TC,B,1st_E&TC_103,1st_E&TC_103,Chopda
104,WQP,1st,E&TC,B,1st_E&TC_104,1st_E&TC_104,Chalisgaon
105,WUW,1st,E&TC,B,1st_E&TC_105,1st_E&TC_105,Dhule
106,LFW,1st,E&TC,B,1st_E&TC_106,1st_E&TC_106,Dharangaon
107,INT,1st,E&TC,B,1st_E&TC_107,1st_E&TC_107,Dhule
108,WZW,1st,E&TC,B,1st_E&TC_108,1st_E&TC_108,Amalner
109,WKD,1st,E&TC,B,1st_E&TC_109,1st_E&TC_109,Shirpur
110,PEL,1st,E&TC,B,1st_E&TC_110,1st_E&TC_110,Pune
111,JYN,1st,E&TC,B,1st_E&TC_111,1st_E&TC_111,Parola
112,MIV,1st,E&TC,B,1st_E&TC_112,1st_E&TC_112,Parola
113,TYT,1st,E&TC,B,1st_E&TC_113,1st_E&TC_113,Pachora
114,NKI,1st,E&TC,B,1st_E&TC_114,1st_E&TC_114,Pune
115,WJT,1st,E&TC,B,1st_E&TC_115,1st_E&TC_115,Mumbai
116,YRG,1st,E&TC,B,1st_E&TC_116,1st_E&TC_116,Chalisgaon
117,RGK,1st,E&TC,B,1st_E&TC_117,1st_E&TC_117,Mumbai
118,VCK,1st,E&TC,B,1st_E&TC_118,1st_E&TC_118,Bhadgaon
119,KJQ,1st,E&TC,B,1st_E&TC_119,1st_E&TC_119,Chalisgaon
120,QGS,1st,E&TC,B,1st_E&TC_120,1st_E&TC_120,Chopda
1,NJY,1st,DS,A,1st_DS_1,1st_DS_1,Bhadgaon
2,JJB,1st,DS,A,1st_DS_2,1st_DS_2,Mumbai
3,CKR,1st,DS,A,1st_DS_3,1st_DS_3,Chalisgaon
4,BDZ,1st,DS,A,1st_DS_4,1st_DS_4,Pachora
5,SPI,1st,DS,A,1st_DS_5,1st_DS_5,Amalner
6,GVJ,1st,DS,A,1st_DS_6,1st_DS_6,Chopda
7,VUD,1st,DS,A,1st_DS_7,1st_DS_7,Shindkheda
8,QRN,1st,DS,A,1st_DS_8,1st_DS_8,Chopda
9,TYF,1st,DS,A,1st_DS_9,1st_DS_9,Chalisgaon
10,YCA,1st,DS,A,1st_DS_10,1st_DS_10,Bhadgaon
11,ZRQ,1st,DS,A,1st_DS_11,1st_DS_11,Mumbai
12,ULO,1st,DS,A,1st_DS_12,1st_DS_12,Pune
13,JMO,1st,DS,A,1st_DS_13,1st_DS_13,Pune
14,CPE,1st,DS,A,1st_DS_14,1st_DS_14,Shirpur
15,XJT,1st,DS,A,1st_DS_15,1st_DS_15,Dhule
16,WFE,1st,DS,A,1st_DS_16,1st_DS_16,Bhadgaon
17,ISU,1st,DS,A,1st_DS_17,1st_DS_17,Pachora
18,MSD,1st,DS,A,1st_DS_18,1st_DS_18,Pachora
19,BED,1st,DS,A,1st_DS_19,1st_DS_19,Pachora
20,JMX,1st,DS,A,1st_DS_20,1st_DS_20,Pune
21,FHQ,1st,DS,A,1st_DS_21,1st_DS_21,Dharangaon
22,EYM,1st,DS,A,1st_DS_22,1st_DS_22,Dhule
23,DNN,1st,DS,A,1st_DS_23,1st_DS_23,Pune
24,EDM,1st,DS,A,1st_DS_24,1st_DS_24,Pune
25,UIC,1st,DS,A,1st_DS_25,1st_DS_25,Dhule
26,YDW,1st,DS,A,1st_DS_26,1st_DS_26,Chalisgaon
27,CQB,1st,DS,A,1st_DS_27,1st_DS_27,Dharangaon
28,TPN,1st,DS,A,1st_DS_28,1st_DS_28,Chalisgaon
29,ZJO,1st,DS,A,1st_DS_29,1st_DS_29,Shirpur
30,LQK,1st,DS,A,1st_DS_30,1st_DS_30,Shindkheda
31,TAH,1st,DS,A,1st_DS_31,1st_DS_31,Dharangaon
32,NGM,1st,DS,A,1st_DS_32,1st_DS_32,Chopda
33,PMF,1st,DS,A,1st_DS_33,1st_DS_33,Dhule
34,LSG,1st,DS,A,1st_DS_34,1st_DS_34,Dharangaon
35,OUT,1st,DS,A,1st_DS_35,1st_DS_35,Amalner
36,ZDI,1st,DS,A,1st_DS_36,1st_DS_36,Dhule
37,SOJ,1st,DS,A,1st_DS_37,1st_DS_37,Mumbai
38,FAF,1st,DS,A,1st_DS_38,1st_DS_38,Pachora
39,CVH,1st,DS,A,1st_DS_39,1st_DS_39,Pune
40,FID,1st,DS,A,1st_DS_40,1st_DS_40,Pune
41,QLC,1st,DS,A,1st_DS_41,1st_DS_41,Pachora
42,NYD,1st,DS,A,1st_DS_42,1st_DS_42,Shindkheda
43,GWL,1st,DS,A,1st_DS_43,1st_DS_43,Dharangaon
44,DPG,1st,DS,A,1st_DS_44,1st_DS_44,Parola
45,TND,1st,DS,A,1st_DS_45,1st_DS_45,Pachora
46,NRK,1st,DS,A,1st_DS_46,1st_DS_46,Chopda
47,ZET,1st,DS,A,1st_DS_47,1st_DS_47,Dhule
48,VIQ,1st,DS,A,1st_DS_48,1st_DS_48,Chalisgaon
49,HWL,1st,DS,A,1st_DS_49,1st_DS_49,Bhadgaon
50,GIX,1st,DS,A,1st_DS_50,1st_DS_50,Dharangaon
51,KMR,1st,DS,A,1st_DS_51,1st_DS_51,Mumbai
52,DPO,1st,DS,A,1st_DS_52,1st_DS_52,Shirpur
53,SXG,1st,DS,A,1st_DS_53,1st_DS_53,Mumbai
54,PSK,1st,DS,A,1st_DS_54,1st_DS_54,Amalner
55,VEN,1st,DS,A,1st_DS_55,1st_DS_55,Pachora
56,TTN,1st,DS,A,1st_DS_56,1st_DS_56,Mumbai
57,CUP,1st,DS,A,1st_DS_57,1st_DS_57,Pune
58,XRU,1st,DS,A,1st_DS_58,1st_DS_58,Shindkheda
59,GQF,1st,DS,A,1st_DS_59,1st_DS_59,Pachora
60,TGP,1st,DS,A,1st_DS_60,1st_DS_60,Amalner
1,QQS,1st,AI,A,1st_AI_1,1st_AI_1,Shirpur
2,RRG,1st,AI,A,1st_AI_2,1st_AI_2,Dhule
3,GOJ,1st,AI,A,1st_AI_3,1st_AI_3,Dhule
4,PMV,1st,AI,A,1st_AI_4,1st_AI_4,Chopda
5,UXL,1st,AI,A,1st_AI_5,1st_AI_5,Shirpur
6,KUQ,1st,AI,A,1st_AI_6,1st_AI_6,Bhadgaon
7,FGM,1st,AI,A,1st_AI_7,1st_AI_7,Dhule
